id_row,Date,New Business Type,Loan Type,Loan Duration,Other,Rate,Amount
724,200806,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,5.48999977111816,2062.0
725,200806,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,5.01000022888184,15787.0
726,200807,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,5.46000003814697,1757.0
727,200807,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,5.86999988555908,1199.0
728,200807,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
729,200807,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,5.19999980926514,14530.0
730,200807,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
731,200807,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,6.17000007629395,22.0
732,200807,Households,Loans for consumption,Over 5 years,NA,6.51999998092651,24.0
733,200807,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
734,200807,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,4.23999977111816,9500.0
735,200807,Non financial corporations,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,4.23000001907349,24533.0
736,200807,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,5.03999996185303,300.0
737,200808,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
738,200808,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,5.92999982833862,1058.0
739,200808,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
740,200808,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,4.19999980926514,8419.0
741,200808,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,5.51000022888184,13132.0
742,200808,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
743,200808,Non financial corporations,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,4.30000019073486,22126.0
744,200808,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,5.21999979019165,161.0
745,200808,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,6.42000007629395,15.0
746,200808,Households,Loans for consumption,Over 5 years,NA,6.61999988555908,15.0
747,200808,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,5.36999988555908,1673.0
748,200809,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
749,200809,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,5.73999977111816,1965.0
750,200809,Households,Loans for consumption,Over 5 years,NA,6.42999982833862,19.0
751,200809,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,5.17000007629395,209.0
752,200809,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,5.55000019073486,14814.0
